wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?,note,removed EN
wn:07045928n,bn:00014520n,n,cadence,the close of a musical section,YES,,
wn:07046218n,bn:00014522n,n,cadenza,a brilliant solo passage occurring near the end of a piece of music,YES,,
wn:00530874n,bn:00014612n,n,cakewalk,a strutting dance based on a march; was performed in minstrel shows; originated as a competition among Black dancers to win a cake,YES,,
wn:02940706n,bn:00014847n,n,calliope,a musical instrument consisting of a series of steam whistles played from a keyboard,YES,,
wn:02940706n,bn:00014847n,n,steam_organ,a musical instrument consisting of a series of steam whistles played from a keyboard,YES,,
wn:09890662n,bn:00015164n,n,canary,a female singer,YES,,
wn:07042862n,bn:00015323n,n,canon,a contrapuntal piece of music in which a melody in one part is imitated exactly in other parts,YES,,
wn:01501718a,bn:00099210a,a,cantabile,smooth and flowing,YES,,
wn:01501718a,bn:00099210a,a,singing,smooth and flowing,YES,,
wn:07042249n,bn:00015343n,n,cantata,a musical composition for voices and orchestra based on a religious text,YES,,
wn:07042249n,bn:00015343n,n,oratorio,a musical composition for voices and orchestra based on a religious text,YES,,
wn:07036443n,bn:00015360n,n,canticle,a hymn derived from the Bible,YES,,
wn:07035305n,bn:00015378n,n,cantus_firmus,a melody used as the basis for a polyphonic composition,YES,,
wn:07280424n,bn:00015703n,n,capriccio,an instrumental composition that doesn't adhere to rules for any specific musical form and is played with improvisation,YES,,
wn:09896311n,bn:00016079n,n,carillonneur,a musician who plays a carillon,YES,,
wn:00535455n,bn:00016087n,n,carioca,a lively ballroom dance that resembles the samba,YES,,
wn:07055203n,bn:00016086n,n,carioca,music composed for dancing the carioca,YES,,
wn:09896401n,bn:00016157n,n,caroler,a singer of carols,YES,,
wn:09896401n,bn:00016157n,n,caroller,a singer of carols,YES,,
wn:00546861n,bn:00016169n,n,caroling,singing joyful religious songs (especially at Christmas),YES,,
wn:02979074n,bn:00016497n,n,cassette_deck,a tape deck for playing and recording cassette tapes,YES,,
wn:09899534n,bn:00016586n,n,castrato,a male singer who was castrated before puberty and retains a soprano or alto voice,YES,,
wn:02990758n,bn:00017003n,n,celesta,a musical instrument consisting of graduated steel plates that are struck by hammers activated by a keyboard,YES,,
wn:09903501n,bn:00017046n,n,cellist,someone who plays a violoncello,YES,,
wn:09903501n,bn:00017046n,n,violoncellist,someone who plays a violoncello,YES,,
wn:02992211n,bn:00017047n,n,cello,a large stringed instrument; seated player holds it upright while playing,YES,,
